Date	Diesel/Petrol	Pump Price
6/9/2003	Diesel	£76.77
6/9/2003	Petrol	£74.59
6/16/2003	Diesel	£76.69
6/16/2003	Petrol	£74.47
6/23/2003	Diesel	£76.62
6/23/2003	Petrol	£74.42
6/30/2003	Diesel	£76.51
6/30/2003	Petrol	£74.35
7/7/2003	Diesel	£76.46
7/7/2003	Petrol	£74.28
7/14/2003	Diesel	£76.41
7/14/2003	Petrol	£74.21
7/21/2003	Diesel	£76.90
7/21/2003	Petrol	£75.07
7/28/2003	Diesel	£76.86
7/28/2003	Petrol	£75.10
8/4/2003	Diesel	£76.81
8/4/2003	Petrol	£75.12
8/11/2003	Diesel	£77.08
8/11/2003	Petrol	£75.44
8/18/2003	Diesel	£77.44
8/18/2003	Petrol	£75.81
8/26/2003	Diesel	£77.68
8/26/2003	Petrol	£76.05
9/1/2003	Diesel	£77.59
9/1/2003	Petrol	£76.13
9/8/2003	Diesel	£77.67
9/8/2003	Petrol	£76.23
9/15/2003	Diesel	£77.63
9/15/2003	Petrol	£76.20
9/22/2003	Diesel	£77.55
9/22/2003	Petrol	£76.15
9/29/2003	Diesel	£77.53
9/29/2003	Petrol	£76.08
10/6/2003	Diesel	£77.66
10/6/2003	Petrol	£76.43
10/13/2003	Diesel	£77.43
10/13/2003	Petrol	£75.90
10/20/2003	Diesel	£77.54
10/20/2003	Petrol	£76.05
10/27/2003	Diesel	£77.51
10/27/2003	Petrol	£76.00
11/3/2003	Diesel	£77.52
11/3/2003	Petrol	£76.00
11/10/2003	Diesel	£77.47
11/10/2003	Petrol	£75.94
11/17/2003	Diesel	£77.52
11/17/2003	Petrol	£75.93
11/24/2003	Diesel	£77.67
11/24/2003	Petrol	£76.02
12/1/2003	Diesel	£77.66
12/1/2003	Petrol	£76.00
12/8/2003	Diesel	£77.63
12/8/2003	Petrol	£75.97
12/15/2003	Diesel	£77.62
12/15/2003	Petrol	£75.96
12/22/2003	Diesel	£77.61
12/22/2003	Petrol	£75.92
12/29/2003	Diesel	£77.60
12/29/2003	Petrol	£75.94
1/5/2004	Diesel	£77.54
1/5/2004	Petrol	£75.88
1/12/2004	Diesel	£77.54
1/12/2004	Petrol	£75.90
1/19/2004	Diesel	£78.06
1/19/2004	Petrol	£76.36
1/26/2004	Diesel	£78.08
1/26/2004	Petrol	£76.44
2/2/2004	Diesel	£78.13
2/2/2004	Petrol	£76.48
2/9/2004	Diesel	£77.98
2/9/2004	Petrol	£76.50
2/16/2004	Diesel	£78.00
2/16/2004	Petrol	£76.44
2/23/2004	Diesel	£77.93
2/23/2004	Petrol	£76.38
3/1/2004	Diesel	£77.87
3/1/2004	Petrol	£76.32
3/8/2004	Diesel	£78.25
3/8/2004	Petrol	£76.73
3/15/2004	Diesel	£78.80
3/15/2004	Petrol	£77.39
3/22/2004	Diesel	£78.92
3/22/2004	Petrol	£77.44
3/29/2004	Diesel	£79.01
3/29/2004	Petrol	£77.59
4/5/2004	Diesel	£79.23
4/5/2004	Petrol	£77.86
4/12/2004	Diesel	£79.27
4/12/2004	Petrol	£77.88
4/19/2004	Diesel	£79.43
4/19/2004	Petrol	£78.04
4/26/2004	Diesel	£79.75
4/26/2004	Petrol	£78.40
5/4/2004	Diesel	£80.64
5/4/2004	Petrol	£79.28
5/10/2004	Diesel	£81.68
5/10/2004	Petrol	£80.30
5/17/2004	Diesel	£82.83
5/17/2004	Petrol	£81.49
5/24/2004	Diesel	£83.48
5/24/2004	Petrol	£82.13
5/31/2004	Diesel	£83.61
5/31/2004	Petrol	£82.35
6/7/2004	Diesel	£83.65
6/7/2004	Petrol	£82.44
6/14/2004	Diesel	£82.60
6/14/2004	Petrol	£81.54
