Ad ID,Advanced Demographics,AgeBracket,BillingAddress,Closed Date,No. of target critereas used,Number of Ads,Globe,% Impressions,Calculation1,Calculation2,Age,Interests ,Gender ,Language ,OS type ,Advanced demographics,Segments ,Location,Year of AD,Spend per Impression,Number of countries,Icon,Total impressions,CandidateBallotInformation,Country,Creative Properties,CreativeUrl,Electoral District,EndDate,Gender,Impressions,Interests,Language - Split 1,Language - Split 2,Language,Location Zip code,Location T,Location MA,Location ED,Location R,Location Type,Metro Area,Number of Records,OS Type,OrganizationName,PayingAdvertiserName,Region,Segments,Spend,StartDate,Targeting Geo - Postal Code
a45c9bacdd2ef9fd0b288fc9fb1065734bee705e595caccd095e6e8fc634ced7,,18-25,"1328 Florida Avenue NW, Building C, Washington, DC,Washington,20009,US",11/7/2018 1:00:00 AM,2,1,,0.000512247,,,1,0,0,0,0,0,0,1,1/1/2018,0.003053953,1,,8841,,United states,web_view_url:https://vota2018.org/,https://www.snap.com/political-ads/asset/5cae0547f51cae1c9b593bf964d75b9576283691ab2cad63381265cf6a8308a6?mediaType=png,Texas 23rd District,11/7/2018 1:00:00 AM,,8841,,,,,0,0,0,1,0,,,1,,Mothership Strategies,Voto Latino,,,27,11/2/2018 10:47:04 PM,
b8364ccf0cb171eed3392ca0df522c1fc0532e30843ddeab418e4bde70b91f6c,,18+,"Krom boomssloot 22-1,Amsterdam,1011GW,NL",12/18/2018 10:59:59 PM,2,1,,0.006120775,,,1,0,0,0,0,0,1,0,1/1/2018,0.001353654,1,,105640,,Netherlands,web_view_url:https://secure.amnesty.nl/write-for-rights/Nonhle_Mbuthuma?utm_source=Jalt&utm_medium=snapchat&utm_campaign=writeforrights2018-act,https://www.snap.com/political-ads/asset/623887f895ef6641d0b7b54c168fbb7d4de55df9f62aab52b3eebbd46969071d?mediaType=mp4,,12/18/2018 10:59:59 PM,,105640,,,,,0,0,0,0,0,,,1,,Jalt,Amnesty International NL,,Provided by Advertiser,143,11/29/2018 3:33:10 PM,
bd17a4efba90478b5d88f70284476ac3ae5d2bfab556b8143ff1f3b6a2718d30,Marital Status (Single),18+,"1640 Rhode Island Ave. NW, Suite 600,Washington,20036,US",10/16/2018 1:00:00 AM,5,1,,0.000770254,,,1,0,1,0,0,1,1,1,1/1/2018,0.004513314,1,,13294,,United states,web_view_url:https://www.voterparticipation.org/online-voter-registration-by-state/,https://www.snap.com/political-ads/asset/058e8ab627d5350bd491278d2e594393722ee752d6ab4ffc07f7fabc44c86b10?mediaType=png,,10/16/2018 1:00:00 AM,FEMALE,13294,,,,,0,0,0,0,1,,,1,,Chong and Koster,Voter Participation Center,Virginia,Provided by Advertiser,60,9/28/2018 11:10:14 PM,
7d48bac22fa3e1ac4d5a77d6aa4c005dabfd33eafc560cfd324e5100f8cb5ca2,,,"202-120 Eglinton Avenue East,Toronto,M4P1E2,CA",9/4/2018 3:59:00 AM,1,1,,0.007946289,,,0,0,0,1,0,0,0,0,1/1/2018,0.001633284,1,,137147,,Canada,web_view_url:https://plancanada.ca/ChangeTheBirthStory?utm_campaign=FY18-Q4-SHOW&utm_source=snapchat&utm_medium=cpv&utm_term=leadgen_A18+,https://www.snap.com/political-ads/asset/8892af89d6cd228aaac1069d90e16d3f4afff112082b9472ed7670c37c982ed7?mediaType=mov,,9/4/2018 3:59:00 AM,,137147,,en,,en,0,0,0,0,0,,,1,,The Aber Group,Plan International Canada,,,224,7/20/2018 11:09:54 PM,
1bea2aea0f0e1977c5c9226fbac045b32e6ab512a08819211166635114c4b4da,,18-34,"1140 Connecticut Ave NW, Suite 800,Washington,20036,US",11/6/2018 11:00:00 PM,2,1,,0.003212364,,,1,0,0,0,0,0,0,1,1/1/2018,0.011146583,1,,55443,,United states,,https://www.snap.com/political-ads/asset/f40c8446c5066242c769caaad94ad9a3b8827f7ce4209a367b3ddbc27969ec07?mediaType=mp4,,11/6/2018 11:00:00 PM,,55443,,,,,1,0,0,0,0,,,1,,Bully Pulpit Interactive,NextGen America,,,618,10/18/2018 8:44:09 PM,"23966,23889,20115,24069,22967,22715,23901,24522,24151,22713,24549,23938,24554,24065,20140,22735,20139,22904,22960,22623,23952,22734,24102,24538,22903,24174,23139,24501,23968,24079,23909,24569,22945,24565,23824,24580,24571,20117,22905,24059,24599,22728,22731,22943,24577,20185,22719,20116,22965,24121,22627,22959,23876,22958,22968,23917,23040,23962,22922,22963,23093,24502,24122,24531,24598,22937,22935,22947,22911,23821,24067,23856,22725,23927,24139,23022,24520,24539,24541,23942,24594,22936,24504,24558,22730,23055,23843,24161"
362ffec677a965c55965d14851a913fbbd177252f2f03d8b042a19669119a2f6,,21+,"2601 Blake Street, Suite 150,Denver,80212,US",9/15/2018 6:59:00 PM,3,1,,0.008483276,,,1,0,0,0,0,0,1,1,1/1/2018,0.003414951,1,,146415,,United states,web_view_url:http://responsibilitygrowshere.com/user#marijuana-and-your-health,https://www.snap.com/political-ads/asset/9408503ec99bad4415ecb8407bc4cf43d40a16c9547d92290c9a64f6ebf5b81a?mediaType=mp4,,9/15/2018 6:59:00 PM,,146415,,,,,0,0,0,0,1,,,1,,Amélie Company,CDPHE,Colorado,Provided by Advertiser,500,9/4/2018 8:26:05 PM,
a188a77b37e1796f602972d93c0ddb2cdcdbb37e96550b8d65d79afac87e9c41,,,US,1/1/2999 12:00:00 AM,1,1,,0.003222040,,,0,0,0,0,0,0,1,0,1/1/2018,0.001708326,1,,55610,,United states,web_view_url:https://www.sheriffjack.com,https://www.snap.com/political-ads/asset/10d72a1f6d5d1f738f826bfe0a68d030954f75694c59c474580bb3f853b2b42a?mediaType=png,,,,55610,,,,,0,0,0,0,0,,,1,,Committee to Elect Jack Serier,Committee to Elect Jack Serier,,Provided by Advertiser,95,11/4/2018 9:21:29 PM,
212a704c32bfaf9686afa645cd7fd40023a34d11b7f60fc43acdaa0e958612c7,,18-20,"19 West 21st Street, 8th Floor,New York,10010,US",10/1/2018 6:59:00 AM,2,1,,0.000388545,,,1,0,0,1,0,0,0,0,1/1/2018,0.002833284,1,,6706,,United states,"web_view_url:https://vote.dosomething.org/s/1?r=campaignID:8017,campaignRunID:8022,source:ads,source_details:snapchat&utm_medium=CPC&utm_source=Snapchat&utm_campaign=September&utm_term=Broad&utm_content=Ad%201",https://www.snap.com/political-ads/asset/bd1d30c7664af1a455d38002dd55d2bf745b86a2a32cbc071a4f778a717974d6?mediaType=mp4,,10/1/2018 6:59:00 AM,,6706,,en,,en,0,0,0,0,0,,,1,,"Do Something, Inc.",DoSomething.org,,,19,9/1/2018 4:00:00 PM,
0dfa629cfabfa628211da8e02dd131923807b2eb0b455aa12183039a4232d103,,18-34,"1140 Connecticut Ave NW, Suite 800,Washington,20036,US",11/6/2018 11:00:00 PM,2,1,,0.002766342,,,1,0,0,0,0,0,0,1,1/1/2018,0.011121583,1,,47745,,United states,,https://www.snap.com/political-ads/asset/9944055166091faac050ff26e3e5f6aae70d3f85f4a5d9fc2243da761e4720f5?mediaType=mp4,,11/6/2018 11:00:00 PM,,47745,,,,,1,0,0,0,0,,,1,,Bully Pulpit Interactive,NextGen America,,,531,10/18/2018 8:44:09 PM,"22923,24054,24064,24528,22712,23919,23936,22902,24517,22920,22701,23937,23950,24104,22931,22711,24184,22643,23920,23868,22732,24464,24137,20144,20198,20156,24095,24550,24566,22932,20184,24597,22740,23954,23915,24092,22969,24590,24592,22723,22727,23857,23967,22971,23959,24529,23847,23084,23923,23027,24101,20181,24530,24563,22906,23964,24588,24540,22722,22949,24148,20119,20106,23924,23934,22738,20188,23943,23038,24534,24570,23960,23004,22709,24527,23947,22747,22743,23123,24562,22639,23970,22946,22642,22938,24112,22989,24088,22630,23963,24557,22716,24543,22973,20137,24581,23974,24586,22940,23976,20187,22974,20130,22640,24176,22948,24589,22733,24551,22901,23921,24553,23887,24521,24556,22976,23958,23944"
84f1bc8f2085453b4b35f9c88d83f1038b6dd7068e12645da65a8b963ce97850,,18-34,"1730 Rhode Island Ave NW Suite 1014,Washington,20036,US",11/5/2018 10:32:04 PM,5,1,,0.012505061,,,1,0,1,1,0,0,1,1,1/1/2018,0.004647219,1,,215828,,United states,web_view_url:https://www.plannedparenthoodaction.org/voterguide,https://www.snap.com/political-ads/asset/336c3622b61937ab705aaeffabbe8de5009b92c23d6240fa3c31c45d90fa67c8?mediaType=mp4,,11/5/2018 10:32:04 PM,FEMALE,215828,,en,,en,0,0,0,0,1,,,1,,Blueprint Interactive,Planned Parenthood Votes,Florida,Provided by Advertiser,1003,10/31/2018 4:32:53 PM,
